case,repeat,time_us,edges,max_out,min_edges,fairness_proven,status,minimum_ms,search_ms
senders-1-seed-0,0,3.566,19,19,-1,false,BASELINE,0,0
senders-1-seed-0,1,3.397,19,19,-1,false,BASELINE,0,0
senders-1-seed-0,2,2.666,19,19,-1,false,BASELINE,0,0
senders-3-seed-0,0,2.589,19,8,-1,false,BASELINE,0,0
senders-3-seed-0,1,2.358,19,8,-1,false,BASELINE,0,0
senders-3-seed-0,2,2.295,19,8,-1,false,BASELINE,0,0
senders-10-seed-0,0,1.921,15,3,-1,false,BASELINE,0,0
senders-10-seed-0,1,1.936,15,3,-1,false,BASELINE,0,0
senders-10-seed-0,2,1.948,15,3,-1,false,BASELINE,0,0
senders-17-seed-0,0,3.904,17,1,-1,false,BASELINE,0,0
senders-17-seed-0,1,3.486,17,1,-1,false,BASELINE,0,0
senders-17-seed-0,2,3.594,17,1,-1,false,BASELINE,0,0
senders-19-seed-0,0,3.781,19,1,-1,false,BASELINE,0,0
senders-19-seed-0,1,3.851,19,1,-1,false,BASELINE,0,0
senders-19-seed-0,2,3.727,19,1,-1,false,BASELINE,0,0
exact-pairs-0,0,2.762,10,1,-1,false,BASELINE,0,0
exact-pairs-0,1,2.724,10,1,-1,false,BASELINE,0,0
exact-pairs-0,2,2.786,10,1,-1,false,BASELINE,0,0
senders-1-seed-1,0,3.367,19,19,-1,false,BASELINE,0,0
senders-1-seed-1,1,3.358,19,19,-1,false,BASELINE,0,0
senders-1-seed-1,2,3.307,19,19,-1,false,BASELINE,0,0
senders-3-seed-1,0,3.484,19,8,-1,false,BASELINE,0,0
senders-3-seed-1,1,3.561,19,8,-1,false,BASELINE,0,0
senders-3-seed-1,2,3.418,19,8,-1,false,BASELINE,0,0
senders-10-seed-1,0,3.035,18,3,-1,false,BASELINE,0,0
senders-10-seed-1,1,2.165,18,3,-1,false,BASELINE,0,0
senders-10-seed-1,2,2.118,18,3,-1,false,BASELINE,0,0
senders-17-seed-1,0,2.203,18,2,-1,false,BASELINE,0,0
senders-17-seed-1,1,2.196,18,2,-1,false,BASELINE,0,0
senders-17-seed-1,2,2.170,18,2,-1,false,BASELINE,0,0
senders-19-seed-1,0,2.724,19,1,-1,false,BASELINE,0,0
senders-19-seed-1,1,2.776,19,1,-1,false,BASELINE,0,0
senders-19-seed-1,2,2.749,19,1,-1,false,BASELINE,0,0
exact-pairs-1,0,1.705,10,1,-1,false,BASELINE,0,0
exact-pairs-1,1,1.654,10,1,-1,false,BASELINE,0,0
exact-pairs-1,2,1.680,10,1,-1,false,BASELINE,0,0
