case,balances
senders-1-seed-0,"[-3915, 235, 130, 130, 290, 340, 160, 30, 115, 80, 180, 475, 10, 345, 300, 170, 340, 140, 380, 65]"
senders-3-seed-0,"[-1405, -895, -2610, 265, 260, 385, 260, 165, 55, 495, 180, 120, 225, 100, 460, 380, 395, 495, 190, 480]"
senders-10-seed-0,"[-540, -90, -350, -380, -25, -200, -65, -450, -185, -140, 180, 460, 290, 455, 15, 150, 70, 30, 350, 425]"
senders-17-seed-0,"[-130, -70, -95, -210, -30, -55, -5, -75, -70, -115, -35, -105, -40, -50, -40, -25, -55, 465, 430, 310]"
senders-19-seed-0,"[-30, -15, -15, -15, -10, -5, -15, -15, -5, -5, -35, -30, -20, -90, -5, -15, -10, -5, -5, 345]"
exact-pairs-0,"[-231, -129, -339, -385, -520, -267, -929, -329, -842, -353, 231, 129, 339, 385, 520, 267, 929, 329, 842, 353]"
senders-1-seed-1,"[-850, 72, 14, 45, 24, 55, 83, 49, 20, 75, 29, 86, 98, 13, 8, 1, 58, 36, 15, 69]"
senders-3-seed-1,"[-321, -530, -183, 22, 85, 73, 38, 85, 33, 98, 30, 95, 38, 51, 99, 85, 95, 18, 48, 41]"
senders-10-seed-1,"[-6, -89, -118, -53, -80, -31, -12, -24, -113, -42, 91, 78, 80, 47, 83, 32, 60, 6, 58, 33]"
senders-17-seed-1,"[-11, -16, -16, -72, -31, -28, -2, -2, -7, -11, -2, -1, -16, -11, -2, -47, -5, 100, 96, 84]"
senders-19-seed-1,"[-1, -1, -3, -2, -1, -1, -1, -2, -1, -1, -1, -1, -3, -1, -2, -1, -2, -1, -1, 27]"
exact-pairs-1,"[-471, -659, -222, -955, -892, -103, -288, -636, -654, -571, 471, 659, 222, 955, 892, 103, 288, 636, 654, 571]"
