case,repeat,time_us,edges,max_out,min_edges,fairness_proven,status,minimum_ms,search_ms
senders-1-seed-0,0,15.266,19,19,19,false,HEURISTIC,0,0
senders-1-seed-0,1,14.968,19,19,19,false,HEURISTIC,0,0
senders-1-seed-0,2,12.623,19,19,19,false,HEURISTIC,0,0
senders-3-seed-0,0,11.250,19,7,17,false,HEURISTIC,0,0
senders-3-seed-0,1,10.613,19,7,17,false,HEURISTIC,0,0
senders-3-seed-0,2,11.042,19,7,17,false,HEURISTIC,0,0
senders-10-seed-0,0,10.199,15,3,15,false,HEURISTIC,0,0
senders-10-seed-0,1,9.526,15,3,15,false,HEURISTIC,0,0
senders-10-seed-0,2,9.939,15,3,15,false,HEURISTIC,0,0
senders-17-seed-0,0,10.377,17,1,17,false,HEURISTIC,0,0
senders-17-seed-0,1,10.967,17,1,17,false,HEURISTIC,0,0
senders-17-seed-0,2,11.315,17,1,17,false,HEURISTIC,0,0
senders-19-seed-0,0,11.558,19,1,19,false,HEURISTIC,0,0
senders-19-seed-0,1,11.460,19,1,19,false,HEURISTIC,0,0
senders-19-seed-0,2,11.907,19,1,19,false,HEURISTIC,0,0
exact-pairs-0,0,6.468,10,1,10,false,HEURISTIC,0,0
exact-pairs-0,1,6.517,10,1,10,false,HEURISTIC,0,0
exact-pairs-0,2,6.600,10,1,10,false,HEURISTIC,0,0
senders-1-seed-1,0,10.514,19,19,19,false,HEURISTIC,0,0
senders-1-seed-1,1,10.926,19,19,19,false,HEURISTIC,0,0
senders-1-seed-1,2,11.247,19,19,19,false,HEURISTIC,0,0
senders-3-seed-1,0,11.578,19,7,17,false,HEURISTIC,0,0
senders-3-seed-1,1,10.994,19,7,17,false,HEURISTIC,0,0
senders-3-seed-1,2,10.051,19,7,17,false,HEURISTIC,0,0
senders-10-seed-1,0,8.310,16,2,15,false,HEURISTIC,0,0
senders-10-seed-1,1,8.638,16,2,15,false,HEURISTIC,0,0
senders-10-seed-1,2,8.223,16,2,15,false,HEURISTIC,0,0
senders-17-seed-1,0,8.913,17,1,17,false,HEURISTIC,0,0
senders-17-seed-1,1,8.815,17,1,17,false,HEURISTIC,0,0
senders-17-seed-1,2,8.667,17,1,17,false,HEURISTIC,0,0
senders-19-seed-1,0,8.967,19,1,19,false,HEURISTIC,0,0
senders-19-seed-1,1,8.938,19,1,19,false,HEURISTIC,0,0
senders-19-seed-1,2,8.687,19,1,19,false,HEURISTIC,0,0
exact-pairs-1,0,3.399,10,1,10,false,HEURISTIC,0,0
exact-pairs-1,1,3.578,10,1,10,false,HEURISTIC,0,0
exact-pairs-1,2,3.546,10,1,10,false,HEURISTIC,0,0
