case,repeat,time_us,edges,max_out,min_edges,fairness_proven,status,minimum_ms,search_ms
senders-1-seed-0,0,338.625,19,19,19,true,BOUND,0.254,0.000
senders-1-seed-0,1,294.458,19,19,19,true,BOUND,0.242,0.000
senders-1-seed-0,2,340.125,19,19,19,true,BOUND,0.279,0.000
senders-3-seed-0,0,126515.083,17,6,17,true,OPTIMAL,7.080,119.334
senders-3-seed-0,1,70143.167,17,6,17,true,OPTIMAL,6.648,63.444
senders-3-seed-0,2,67875.625,17,6,17,true,OPTIMAL,6.340,61.486
senders-10-seed-0,0,19366.334,15,2,15,true,OPTIMAL,6.357,12.970
senders-10-seed-0,1,19435.167,15,2,15,true,OPTIMAL,6.303,13.097
senders-10-seed-0,2,19752.625,15,2,15,true,OPTIMAL,7.487,12.090
senders-17-seed-0,0,106.208,17,1,17,true,BOUND,0.064,0.000
senders-17-seed-0,1,75.416,17,1,17,true,BOUND,0.046,0.000
senders-17-seed-0,2,79.834,17,1,17,true,BOUND,0.047,0.000
senders-19-seed-0,0,70.625,19,1,19,true,BOUND,0.047,0.000
senders-19-seed-0,1,74.083,19,1,19,true,BOUND,0.050,0.000
senders-19-seed-0,2,66.958,19,1,19,true,BOUND,0.041,0.000
exact-pairs-0,0,54.292,10,1,10,true,BOUND,0.032,0.000
exact-pairs-0,1,57.416,10,1,10,true,BOUND,0.035,0.000
exact-pairs-0,2,63.833,10,1,10,true,BOUND,0.040,0.000
senders-1-seed-1,0,79.708,19,19,19,true,BOUND,0.045,0.000
senders-1-seed-1,1,71.708,19,19,19,true,BOUND,0.041,0.000
senders-1-seed-1,2,109.875,19,19,19,true,BOUND,0.071,0.000
senders-3-seed-1,0,250164.083,18,6,17,true,OPTIMAL,6.689,243.428
senders-3-seed-1,1,247969.625,18,6,17,true,OPTIMAL,6.955,240.972
senders-3-seed-1,2,242019.584,18,6,17,true,OPTIMAL,7.329,234.649
senders-10-seed-1,0,280853.625,15,2,15,true,OPTIMAL,6.274,274.538
senders-10-seed-1,1,278130.500,15,2,15,true,OPTIMAL,6.221,271.857
senders-10-seed-1,2,282314.833,15,2,15,true,OPTIMAL,7.472,274.792
senders-17-seed-1,0,95.875,17,1,17,true,BOUND,0.064,0.000
senders-17-seed-1,1,57.375,17,1,17,true,BOUND,0.036,0.000
senders-17-seed-1,2,48.834,17,1,17,true,BOUND,0.030,0.000
senders-19-seed-1,0,55.208,19,1,19,true,BOUND,0.037,0.000
senders-19-seed-1,1,55.458,19,1,19,true,BOUND,0.036,0.000
senders-19-seed-1,2,70.166,19,1,19,true,BOUND,0.044,0.000
exact-pairs-1,0,50.958,10,1,10,true,BOUND,0.029,0.000
exact-pairs-1,1,44.083,10,1,10,true,BOUND,0.022,0.000
exact-pairs-1,2,48.166,10,1,10,true,BOUND,0.026,0.000
